Steve Lacy;ss;Hardbop;1957;135.1
J.J. Johnson;tb;Bebop;1949;196.7
Paul Desmond;as;Cool;1964;191.2
Miles Davis;tp;Hardbop;1956;115.7
Paul Desmond;as;Cool;1964;152.6
Ben Webster;ts;Swing;1956;181.8
Steve Coleman;as;Postbop;1990;146.0
Steve Coleman;as;Postbop;1990;146.0
Coleman Hawkins;ts;Swing;1950;132.1
Steve Coleman;as;Postbop;1990;146.0
J.J. Johnson;tb;Bebop;1949;64.3
Miles Davis;tp;Hardbop;1956;115.7
Paul Desmond;as;Cool;1964;236.5
Stan Getz;ts;Cool;1957;66.9
Miles Davis;tp;Hardbop;1956;115.7
Don Byas;ts;Swing;1945;98.9
Stan Getz;ts;Cool;1963;131.6
Paul Desmond;as;Cool;1964;236.5
Charlie Parker;as;Bebop;1947;224.7
Stan Getz;ts;Cool;1957;66.9
Lee Konitz;as;Cool;1949;173.5
Kenny Dorham;tp;Bebop;1946;186.0
Paul Desmond;as;Cool;1964;152.6
Don Byas;ts;Swing;1945;98.9
Miles Davis;tp;Hardbop;1956;115.7
Stan Getz;ts;Cool;1963;131.6
Ben Webster;ts;Swing;1962;118.3
Lee Konitz;as;Cool;1949;173.5
Paul Desmond;as;Cool;1964;191.2
Coleman Hawkins;ts;Swing;1950;132.1
Coleman Hawkins;ts;Swing;1949;133.8
Stan Getz;ts;Cool;1963;131.6
Miles Davis;tp;Hardbop;1956;115.7
Stan Getz;ts;Cool;1963;131.6
Miles Davis;tp;Hardbop;1956;115.7
