Don Byas;ts;Swing;1945;98.9
John Coltrane;ts;Hardbop;1957;140.8
Benny Carter;as;Swing;1952;185.4
Steve Coleman;as;Postbop;1990;146.0
Sonny Rollins;ts;Postbop;1972;197.2
Cannonball Adderley;as;Hardbop;1959;175.1
Don Byas;ts;Bebop;1945;287.6
David Murray;ts;Postbop;1983;66.0
Don Byas;ts;Bebop;1945;287.6
John Coltrane;ts;Hardbop;1959;290.3
Don Byas;ts;Swing;1947;98.9
David Murray;ts;Postbop;1983;66.0
Don Byas;ts;Bebop;1945;287.6
David Murray;ts;Postbop;1990;63.3
Benny Carter;as;Swing;1952;185.4
Lester Young;ts;Swing;1944;245.0
David Murray;ts;Postbop;1983;66.0
David Murray;ts;Postbop;1983;66.0
Don Byas;ts;Swing;1947;98.9
Don Byas;ts;Swing;1947;98.9
John Coltrane;ts;Hardbop;1959;290.3
Chet Baker;tp;Cool;1955;189.9
David Murray;ts;Postbop;1983;66.1
David Murray;ts;Postbop;1983;66.0
Joshua Redman;ts;Postbop;1992;145.2
Joe Lovano;ts;Postbop;1991;60.7
Louis Armstrong;cor;Traditional;1926;183.1
Don Byas;ts;Swing;1947;98.9
Steve Coleman;as;Postbop;1990;146.0
Don Byas;ts;Swing;1947;98.9
Lee Konitz;as;Cool;1949;256.4
Cannonball Adderley;as;Hardbop;1959;142.6
Don Byas;ts;Swing;1947;98.9
Don Byas;ts;Swing;1947;98.9
Steve Coleman;as;Postbop;1990;146.0
Benny Goodman;cl;Swing;1937;284.8
