Ben Webster;ts;Swing;1956;82.0
Art Pepper;as;Cool;1979;60.9
Lee Konitz;as;Cool;1949;256.4
David Murray;ts;Postbop;1983;66.0
Steve Lacy;ss;Hardbop;1957;166.0
Dexter Gordon;ts;Bebop;1961;113.6
Benny Carter;as;Swing;1986;127.2
Steve Lacy;ss;Hardbop;1961;132.2
Joe Henderson;ts;Postbop;1991;248.4
Coleman Hawkins;ts;Swing;1950;132.1
Michael Brecker;ts;Postbop;1987;243.8
Clifford Brown;tp;Hardbop;1945;161.2
Michael Brecker;ts;Postbop;1996;125.6
Don Byas;ts;Swing;1945;99.0
Ornette Coleman;as;Free;1959;232.8
Cannonball Adderley;as;Hardbop;1959;175.1
David Murray;ts;Postbop;1983;66.1
Freddie Hubbard;tp;Postbop;1965;127.4
Ornette Coleman;as;Free;1959;200.5
Dizzy Gillespie;tp;Bebop;1952;113.4
Stan Getz;ts;Cool;1963;131.6
Woody Shaw;tp;Postbop;1987;60.2
Don Byas;ts;Swing;1947;98.9
Wayne Shorter;ts;Postbop;1964;51.3
Dexter Gordon;ts;Bebop;1969;119.9
Michael Brecker;ts;Postbop;1990;48.6
Joe Henderson;ts;Postbop;1991;219.9
Art Pepper;as;Cool;1979;60.9
Bob Berg;ts;Postbop;1993;250.7
Joe Henderson;ts;Postbop;1964;157.5
Lester Young;ts;Swing;1942;78.6
Charlie Parker;as;Bebop;1945;226.3
David Liebman;ts;Postbop;1996;151.0
Ben Webster;ts;Swing;1956;82.0
Ben Webster;ts;Swing;1956;181.8
