Louis Armstrong;cor;Traditional;1926;193.0
Joshua Redman;ts;Postbop;1994;53.2
David Murray;ts;Postbop;1990;53.3
Paul Desmond;as;Cool;1959;116.0
David Murray;ts;Postbop;1990;53.3
Joe Lovano;ss;Postbop;1991;209.6
David Murray;ts;Postbop;1990;53.3
David Murray;ts;Postbop;1990;53.3
David Liebman;ts;Postbop;1996;151.0
Benny Goodman;cl;Swing;1937;284.8
Joshua Redman;ts;Postbop;1994;53.2
Ben Webster;ts;Swing;1956;74.1
Paul Desmond;as;Cool;1959;116.0
Paul Desmond;as;Cool;1959;116.0
David Murray;ts;Postbop;1990;53.3
Benny Carter;as;Swing;1986;124.0
David Liebman;ts;Postbop;1996;151.0
Paul Desmond;as;Cool;1959;116.0
David Murray;ts;Postbop;1990;53.3
John Coltrane;ts;Postbop;1963;279.5
John Coltrane;ts;Postbop;1963;279.5
David Murray;ts;Postbop;1990;53.3
David Murray;ts;Postbop;1990;53.3
Michael Brecker;ts;Postbop;1990;321.1
Joe Lovano;ss;Postbop;1991;209.6
Paul Desmond;as;Cool;1959;116.0
Ornette Coleman;as;Free;1959;200.5
Joshua Redman;ts;Postbop;1994;53.2
Paul Desmond;as;Cool;1959;116.0
Benny Goodman;cl;Swing;1937;284.8
David Murray;ts;Postbop;1990;53.3
Paul Desmond;as;Cool;1959;116.0
Paul Desmond;as;Cool;1959;116.0
Paul Desmond;as;Cool;1959;116.0
Paul Desmond;as;Cool;1959;116.0
