Chet Baker;tp;Cool;1975;225.7
Louis Armstrong;cor;Traditional;1926;183.1
Clifford Brown;tp;Hardbop;1945;161.2
Clifford Brown;tp;Hardbop;1945;161.2
Cannonball Adderley;as;Hardbop;1961;194.3
Woody Shaw;tp;Postbop;1977;171.7
John Coltrane;ts;Postbop;1963;279.5
Woody Shaw;tp;Postbop;1977;171.7
Charlie Parker;as;Bebop;1946;220.3
Joe Lovano;ts;Postbop;1991;63.2
Woody Shaw;tp;Postbop;1977;171.7
Kenny Dorham;tp;Postbop;1964;154.6
Miles Davis;tp;Postbop;1959;138.6
Miles Davis;tp;Postbop;1959;138.6
Sonny Rollins;ts;Hardbop;1956;176.2
Benny Goodman;cl;Swing;1937;284.8
Woody Shaw;tp;Postbop;1977;171.7
Louis Armstrong;cor;Traditional;1926;193.0
Joe Lovano;ts;Postbop;1991;63.2
Steve Lacy;ss;Hardbop;1957;166.4
Ben Webster;ts;Swing;1956;82.0
Joe Lovano;ts;Postbop;1991;63.2
Steve Lacy;ss;Hardbop;1957;166.4
Miles Davis;tp;Postbop;1964;138.7
Joe Lovano;ts;Postbop;1991;63.2
Wayne Shorter;ts;Postbop;1965;126.4
Joshua Redman;ts;Postbop;1992;145.2
David Liebman;ts;Postbop;1996;151.0
Michael Brecker;ts;Postbop;1990;48.6
Joe Lovano;ts;Postbop;1991;63.2
Kenny Dorham;tp;Postbop;1964;154.6
Joe Lovano;ts;Postbop;1991;63.2
Wayne Shorter;ts;Postbop;1965;126.4
Ben Webster;ts;Swing;1956;82.0
Joshua Redman;ts;Postbop;1992;145.2
