Ornette Coleman;as;Free;1959;200.5
Joshua Redman;ts;Postbop;1994;53.2
John Coltrane;ts;Hardbop;1959;344.0
Paul Desmond;as;Cool;1959;116.0
David Murray;ts;Postbop;1990;53.3
David Murray;ts;Postbop;1990;53.3
David Liebman;ts;Postbop;1996;151.0
Michael Brecker;ts;Postbop;1990;321.1
Michael Brecker;ts;Postbop;1990;321.1
John Coltrane;ts;Postbop;1963;279.5
Wayne Shorter;ts;Postbop;1964;51.3
John Coltrane;ts;Hardbop;1959;344.0
John Coltrane;ts;Postbop;1963;279.5
Michael Brecker;ts;Postbop;1990;321.1
David Murray;ts;Postbop;1990;53.3
John Coltrane;ts;Hardbop;1959;344.0
Michael Brecker;ts;Postbop;1990;321.1
David Murray;ts;Postbop;1990;53.3
David Murray;ts;Postbop;1990;53.3
Joe Lovano;ts;Postbop;1994;200.8
Charlie Parker;as;Bebop;1947;197.3
John Coltrane;ts;Postbop;1963;279.5
John Coltrane;ts;Hardbop;1959;344.0
David Murray;ts;Postbop;1990;53.3
Joe Lovano;ts;Postbop;1994;200.8
Charlie Parker;as;Bebop;1947;197.3
Michael Brecker;ts;Postbop;1990;321.1
John Coltrane;ts;Hardbop;1959;344.0
Michael Brecker;ts;Postbop;1990;321.1
Benny Goodman;cl;Swing;1937;284.8
John Coltrane;ts;Hardbop;1959;344.0
Benny Goodman;cl;Swing;1937;284.8
John Coltrane;ts;Hardbop;1959;344.0
Paul Desmond;as;Cool;1959;116.0
John Coltrane;ts;Hardbop;1959;344.0
